,Ticker,Open,High,Low,Close,Adj Close,Volume,Percent_Change_From_Startdate,Change_Close_Less_Open
2021-01-07 14:30:00-05:00,UUP,28,28.07749939,27.99749947,28.07749939,28.07749939,2845,7.08428728,0.07749939
2021-01-07 15:30:00-05:00,UUP,28.16500092,28.37249947,28.08250046,28.25,28.25,20899,7.742184362,0.084999084
2021-01-08 09:30:00-05:00,UUP,29.43499947,29.43499947,28.13999939,28.14749908,28.14749908,29477,7.351257901,-1.287500381
2021-01-08 10:30:00-05:00,UUP,28.21249962,28.58374977,28.12504959,28.47177505,28.47177505,5431,8.588008393,0.259275436
2021-01-08 11:30:00-05:00,UUP,28.38497543,28.44000053,28.25584984,28.39249992,28.39249992,5638,8.285662346,0.00752449
2021-01-08 12:30:00-05:00,UUP,28.40250015,28.47750092,27.85000038,27.94102478,27.94102478,6430,6.563789138,-0.461475372
2021-01-08 13:30:00-05:00,UUP,27.94750023,27.9544754,27.65500069,27.91749954,27.91749954,5775,6.474066641,-0.030000687
2021-01-08 14:30:00-05:00,UUP,27.92777443,28.18000031,27.92777443,28.03499985,28.03499985,3000,6.922199014,0.107225418
2021-01-08 15:30:00-05:00,UUP,27.99250031,28.17749977,27.98999977,28.15999985,28.15999985,3523,7.398934343,0.167499542
2021-01-11 09:30:00-05:00,UUP,27.76000023,28.9666748,27.76000023,28.9666748,28.9666748,0,10.47549795,1.206674576
2021-01-11 10:30:00-05:00,UUP,29.04997444,29.16497421,28.73999977,28.91749954,28.91749954,8020,10.28794927,-0.132474899
2021-01-11 11:30:00-05:00,UUP,28.98749924,29.05247498,28.98749924,29.05247498,29.05247498,2002,10.80272973,0.064975739
2021-01-11 12:30:00-05:00,UUP,29.27000046,29.34244919,29.18250084,29.20000076,29.20000076,3623,11.36537577,-0.069999695
2021-01-11 13:30:00-05:00,UUP,29.20000076,29.20000076,29.00499916,29.03097534,29.03097534,3775,10.72073265,-0.169025421
2021-01-11 14:30:00-05:00,UUP,28.94779968,29.02000046,28.74374962,28.74374962,28.74374962,8565,9.625287457,-0.204050064
2021-01-11 15:30:00-05:00,UUP,28.73749924,28.89999962,28.73749924,28.8125,28.8125,3872,9.887493343,0.075000763
2021-01-12 09:30:00-05:00,UUP,29.08749962,29.20499992,28.58237457,29.07749939,29.07749939,0,10.89816991,-0.010000229
2021-01-12 10:30:00-05:00,UUP,29.14999962,29.6447506,29.12249947,29.59000015,29.59000015,9648,12.85278767,0.440000534
2021-01-12 11:30:00-05:00,UUP,29.55249977,29.55249977,28.8125,28.92499924,28.92499924,18106,10.31655223,-0.627500534
2021-01-12 12:30:00-05:00,UUP,29.02829933,29.22750092,28.97750092,29.125,29.125,7614,11.07933167,0.096700668
2021-01-12 13:30:00-05:00,UUP,29.20000076,29.32925034,28.98999977,28.98999977,28.98999977,7166,10.56445664,-0.210000992
2021-01-12 14:30:00-05:00,UUP,29.01499939,29.10499954,28.86000061,28.89374924,28.89374924,4221,10.1973684,-0.121250153
2021-01-12 15:30:00-05:00,UUP,28.92250061,29.14749908,28.89749908,29.13249969,29.13249969,0,11.10793462,0.209999084
2021-01-13 09:30:00-05:00,UUP,29.60499954,29.75499916,29.09749985,29.57500076,29.57500076,11916,12.79558176,-0.029998779
2021-01-13 10:30:00-05:00,UUP,29.55750084,29.60499954,29.28000069,29.31697464,29.31697464,4458,11.81150041,-0.240526199
2021-01-13 11:30:00-05:00,UUP,29.43250084,29.44249916,29.27750015,29.28249931,29.28249931,2683,11.68001556,-0.150001526
2021-01-13 12:30:00-05:00,UUP,29.45750046,29.58749962,29.45750046,29.58250046,29.58250046,1228,12.82418472,0.125
