date_time_on_30_min,Ticker,Open,High,Low,Close,Adj Close,Volume,Percent_Change_From_Startdate,Change_Close_Less_Open
2021-01-04 09:30:00-05:00,SPY,375.3099976,375.3599854,372.1400146,372.4899902,372.4899902,11903531,-0.751380817,-2.820007324
2021-01-04 10:30:00-05:00,SPY,372.480011,372.5999146,367.6521912,368.9880981,368.9880981,16400051,-1.684447378,-3.491912842
2021-01-04 11:30:00-05:00,SPY,368.9880981,368.9880981,364.8200073,366.4798889,366.4798889,14835702,-2.352750713,-2.508209229
2021-01-04 12:30:00-05:00,SPY,366.4630127,368.25,365.0100098,367.9599915,367.9599915,11030489,-1.958382711,1.49697876
2021-01-04 13:30:00-05:00,SPY,367.9500122,368.6400146,367.2399902,367.7999878,367.7999878,8240738,-2.001015111,-0.150024414
2021-01-04 14:30:00-05:00,SPY,367.7950134,368.1700134,366.6000061,367.6099854,367.6099854,11759373,-2.051640579,-0.185028076
2021-01-04 15:30:00-05:00,SPY,367.3518982,369.5499878,367.2099915,368.8500061,368.8500061,19223132,-1.721241506,1.49810791
2021-01-05 09:30:00-05:00,SPY,368.1000061,370.9200134,368.0499878,369.7467041,369.7467041,12804266,-1.482319547,1.646697998
2021-01-05 10:30:00-05:00,SPY,369.75,369.9299927,368.3099976,369.5700073,369.5700073,10793469,-1.529399769,-0.179992676
2021-01-05 11:30:00-05:00,SPY,369.5718994,370.5318909,369.5,369.8934021,369.8934021,3925615,-1.443232393,0.321502686
2021-01-05 12:30:00-05:00,SPY,369.8934021,370.6300049,369.8599854,370.3967896,370.3967896,4168175,-1.309106616,0.503387451
2021-01-05 13:30:00-05:00,SPY,370.3967896,372.2799988,370.3599854,372.1585999,372.1585999,5723763,-0.839678593,1.761810303
2021-01-05 14:30:00-05:00,SPY,372.158905,372.5,371.019989,371.0599976,371.0599976,7387375,-1.132397226,-1.098907471
2021-01-05 15:30:00-05:00,SPY,371.0599976,372.2200012,370.8599854,371.3099976,371.3099976,10553138,-1.065785624,0.25
2021-01-06 09:30:00-05:00,SPY,369.7099915,373.9798889,369.269989,373.7999878,373.7999878,18030488,-0.402336675,4.089996338
2021-01-06 10:30:00-05:00,SPY,373.7999878,376.1600037,373.7900085,375.8800964,375.8800964,11040936,0.151900797,2.080108643
2021-01-06 11:30:00-05:00,SPY,375.8900146,376.0599976,375.1000061,375.73349,375.73349,5793640,0.112838036,-0.156524658
2021-01-06 12:30:00-05:00,SPY,375.730011,376.980011,375.730011,376.1300049,376.1300049,7822348,0.218488004,0.399993896
2021-01-06 13:30:00-05:00,SPY,376.1300049,376.980011,374.3099976,374.6698914,374.6698914,9716452,-0.170553997,-1.460113525
2021-01-06 14:30:00-05:00,SPY,374.6600037,375.7000122,372.8800049,374.2099915,374.2099915,23161403,-0.293092673,-0.450012207
2021-01-06 15:30:00-05:00,SPY,374.2000122,374.6600037,372.8299866,373.5400085,373.5400085,18868139,-0.471607211,-0.660003662
2021-01-07 09:30:00-05:00,SPY,376.1000061,379.2799988,375.9100037,379.0130005,379.0130005,17915657,0.986651822,2.912994385
2021-01-07 10:30:00-05:00,SPY,379.0150146,379.7000122,378.7799988,378.9400024,378.9400024,8625492,0.967201755,-0.075012207
2021-01-07 11:30:00-05:00,SPY,378.9299927,379.3200073,378.3150024,378.3700867,378.3700867,6869767,0.815349746,-0.559906006
2021-01-07 12:30:00-05:00,SPY,378.3754883,379.1680908,378.3754883,378.480011,378.480011,5543919,0.844638685,0.104522705
2021-01-07 13:30:00-05:00,SPY,378.5100098,379.230011,378.480011,378.7318115,378.7318115,4759347,0.911730033,0.221801758
2021-01-07 14:30:00-05:00,SPY,378.7250061,379.6099854,378.7250061,379.4700012,379.4700012,5707423,1.108418025,0.744995117
2021-01-07 15:30:00-05:00,SPY,379.4649963,379.8999939,378.9599915,379.0599976,379.0599976,10394407,0.999174023,-0.404998779
2021-01-08 09:30:00-05:00,SPY,380.5899963,381.2149963,378.8399963,378.9200134,378.9200134,10604752,0.961875754,-1.66998291
